country_name,avg_aqi_value,longitude,latitude
Seychelles,26,55.4540146,-4.6574977
Sierra Leone,44.2,-11.8400269,8.6400349
Singapore,91,103.8194992,1.357107
Slovakia,67.53225806,19.4528646,48.7411522
Slovenia,70.875,14.8153333,46.1199444
Solomon Islands,18,159.1070694,-8.7053941
Somalia,72.05555556,49.083416,8.3676771
South Africa,113.0402299,24.991639,-28.8166236
S. Sudan,60.33333333,29.6667897,7.8699431
Spain,38.45647059,-4.8379791,39.3260685
Sri Lanka,63.52173913,80.7137847,7.5554942
Palestine,86,34.93849538,31.76296362
Sudan,78.85714286,6.5,10.9
Suriname,43.33333333,-56.0771187,4.1413025
Sweden,36.16494845,14.5208584,59.6749712
Switzerland,55.21551724,8.2319736,46.7985624
Syria,86.93333333,39.0494106,34.6401861
Tajikistan,115.2068966,70.8156541,38.6281733
Thailand,53.58130081,100.83273,14.8971921
Togo,65.15789474,1.0199765,8.7800265
Trinidad and Tobago,94.5,-61.0840075,10.7466905
Tunisia,70.90909091,10.1857757,36.8002068
Turkey,51.66804979,34.9249653,38.9597594
Turkmenistan,104.7222222,59.3924609,39.3763807
Uganda,85.31746032,32.2166578,1.5333554
Ukraine,51.05479452,31.2718321,49.4871968
United Arab Emirates,163.6666667,53.9994829,24.0002488
United Kingdom,39.515,-3.2765753,54.7023545
Tanzania,31.63318777,35.7878438,-6.5247123
United States of America,59.74059889,-100.445882,39.7837304
Uruguay,26.65384615,-56.0201525,-32.8755548
Uzbekistan,119.0862069,63.9528098,41.32373
Vanuatu,30,168.1069154,-16.5255069
Venezuela ,77.72222222,-66.1109318,8.0018709
Vietnam,87.05,107.9650855,15.9266657
Yemen,144.5714286,47.8915271,16.3471243
Zambia,40.66666667,27.5589884,-14.5189121
Zimbabwe,43.74074074,29.7468414,-18.4554963
